response_id,submission_date,satisfaction_score,encountered_issue,issue_description
R001,2025-03-03,5,0,
R002,2025-03-03,4,0,
R003,2025-03-03,2,1,"I asked the chatbot where to find public records for property ownership in my county. It gave me a confident answer with a specific URL, but the link was broken and did not exist on the site. I had to find the correct page myself."
R004,2025-03-03,4,0,
R005,2025-03-03,5,0,
R006,2025-03-04,3,1,"The chatbot told me that public records requests must be submitted by mail only. When I called the office directly, I learned that online submission has been available for over a year. The information provided appears to be outdated."
R007,2025-03-04,4,0,
R008,2025-03-04,5,0,
R009,2025-03-04,2,1,"I asked how to access archived court records for cases older than ten years. The chatbot gave me a very general response about public records broadly and did not address historical archives at all. It did not seem to understand the specific nature of my question."
R010,2025-03-04,5,0,
R011,2025-03-05,4,0,
R012,2025-03-05,1,1,"When I asked the chatbot about fees for obtaining certified copies of vital records, it gave me a dollar amount that turned out to be incorrect. It stated the fee with full confidence and did not indicate any uncertainty. I only discovered the error after arriving at the office."
R013,2025-03-05,3,0,
R014,2025-03-05,4,0,
R015,2025-03-05,2,1,"I submitted a follow-up question after the chatbot gave me an initial answer about public business license records. It appeared to forget the context of my first message entirely and responded as if we were starting a new conversation. I had to repeat myself multiple times."
R016,2025-03-06,5,0,
R017,2025-03-06,3,1,"I asked which department handles environmental impact records for my municipality. The chatbot directed me to the County Clerk's office. That office then redirected me to the Planning Department, which is actually where those records are held. The chatbot sent me to the wrong place."
R018,2025-03-06,4,0,
R019,2025-03-06,5,0,
R020,2025-03-07,1,1,"I asked a straightforward question about requesting police incident reports. The chatbot gave a partial response that cut off mid-sentence and did not complete the instructions. Refreshing and re-asking produced the same truncated output each time."
R021,2025-03-07,4,0,
R022,2025-03-07,3,1,"The chatbot walked me through how to file a public records request but every step it described referred to state-level procedures. My question was specifically about city-level records. It never acknowledged the distinction between state and local jurisdiction."
R023,2025-03-08,5,0,
R024,2025-03-08,2,1,"I asked about the typical processing time for a public records request. The chatbot repeated nearly the same sentence three times in a row in its response, phrased slightly differently each time, without actually giving me a clear answer. The response was padded and unhelpful."
R025,2025-03-09,4,0,
